question,summary_answer,difficulty,text,id
How to test AI model's instruction-following ability?,The chapter emphasizes the importance of evaluating a model's instruction-following capability by analyzing its response to structured output requests and adherence to specific constraints.,beginner,"Let’s say you ask the model to detect the sentiment in a tweet and output
NEGATIVE, POSITIVE, or NEUTRAL. The model seems to understand
the sentiment of each tweet, but it generates unexpected outputs such as
HAPPY and ANGRY. This means that the model has the domain-specific
capability to do sentiment analysis on tweets, but its instruction-following
capability is poor.
Instruction-following capability is essential for applications that require
structured outputs, such as in JSON format or matching a regular
6
expression (regex). For example, if you ask a model to classify an input as
A, B, or C, but the model outputs “That’s correct”, this output isn’t very
helpful and will likely break downstream applications that expect only A, B,
or C.
But instruction-following capability goes beyond generating structured
outputs. If you ask a model to use only words of at most four characters, the
model’s outputs don’t have to be structured, but they should still follow the
instruction to contain only words of at most four characters. Ello, a startup
that helps kids read better, wants to build a system that automatically
generates stories for a kid using only the words that they can understand.
The model they use needs the ability to follow the instruction to work with
a limited pool of words.
Instruction-following capability isn’t straightforward to define or measure,
as it can be easily conflated with domain-specific capability or generation",3c1fcdff
how to create evaluation sets for AI models,It stresses the necessity of having multiple evaluation sets that represent various data slices to effectively gauge a system's performance across different segments of users and inputs.,intermediate,"outperforms model B on each subgroup but underperforms model B
overall.
a
Table 4-6. An example of Simpson’s paradox.
Group 1 Group 2 Overall
Model A 93% (81/87) 73% (192/263) 78% (273/350)
Model B 87% (234/270) 69% (55/80) 83% (289/350)
a
I also used this example in Designing Machine Learning Systems. Numbers from Charig
et al., “Comparison of Treatment of Renal Calculi by Open Surgery, Percutaneous
Nephrolithotomy, and Extracorporeal Shockwave Lithotripsy”, British Medical Journal
(Clinical Research Edition) 292, no. 6524 (March 1986): 879–82.
You should have multiple evaluation sets to represent different data slices.
You should have one set that represents the distribution of the actual
production data to estimate how the system does overall. You can slice your
data based on tiers (paying users versus free users), traffic sources (mobile
versus web), usage, and more. You can have a set consisting of the
examples for which the system is known to frequently make mistakes. You
can have a set of examples where users frequently make mistakes—if typos
are common in production, you should have evaluation examples that
contain typos. You might want an out-of-scope evaluation set, inputs your
application isn’t supposed to engage with, to make sure that your
application handles them appropriately.",e2faee34
what benchmarks to use for evaluating LLMs,"It mentions Eleuther's lm-evaluation-harness, noting ideal examples ranging from 300 to over 1,000, which are critical for assessing model effectiveness reliably.",intermediate,"As a reference, among evaluation benchmarks in Eleuther’s lm-evaluation-
harness, the median number of examples is 1,000, and the average is 2,159.
The organizers of the Inverse Scaling prize suggested that 300 examples is
the absolute minimum and they would prefer at least 1,000, especially if the
examples are being synthesized (McKenzie et al., 2023).
Evaluate your evaluation pipeline
Evaluating your evaluation pipeline can help with both improving your
pipeline’s reliability and finding ways to make your evaluation pipeline
more efficient. Reliability is especially important with subjective evaluation
methods such as AI as a judge.
Here are some questions you should be asking about the quality of your
evaluation pipeline:
Is your evaluation pipeline getting you the right signals?
Do better responses indeed get higher scores? Do better evaluation
metrics lead to better business outcomes?
How reliable is your evaluation pipeline?
If you run the same pipeline twice, do you get different results? If
you run the pipeline multiple times with different evaluation datasets,
what would be the variance in the evaluation results? You should aim
to increase reproducibility and reduce variance in your evaluation",265ae24b
correlation scores of AI benchmarks,"The chapter highlights the Pearson correlation scores among six benchmarks, indicating strong correlations among WinoGrande, MMLU, and ARC-C due to their focus on reasoning capabilities.",beginner,"Table 4-5 shows the Pearson correlation scores among the six benchmarks
used on Hugging Face’s leaderboard, computed in January 2024 by Balázs
Galambosi. The three benchmarks WinoGrande, MMLU, and ARC-C are
strongly correlated, which makes sense since they all test reasoning
capabilities. TruthfulQA is only moderately correlated to other benchmarks,
suggesting that improving a model’s reasoning and math capabilities
doesn’t always improve its truthfulness.
Table 4-5. The correlation between the six benchmarks used on Hugging Face’s leaderboard, compute
ARC-C HellaSwag MMLU Truth
ARC-C 1.0000 0.4812 0.8672 0.480
HellaSwag 0.4812 1.0000 0.6105 0.480
MMLU 0.8672 0.6105 1.0000 0.550
TruthfulQA 0.4809 0.4228 0.5507 1.000
WinoGrande 0.8856 0.4842 0.9011 0.455
GSM-8K 0.7438 0.3547 0.7936 0.500
The results from all the selected benchmarks need to be aggregated to rank
models. As of this writing, Hugging Face averages a model’s scores on all
these benchmarks to get the final score to rank that model. Averaging means",a3622fc5
AI response length requirements,"The chapter specifies how to set constraints on response length, such as defining minimum and maximum numbers of words, sentences, and paragraphs.",beginner,"Instruction
Instruction Description
group
Length Number words Answer with at least/around/at
constraints most {N} words.
Length Number sentences Answer with at least/around/at
constraints most {N} sentences.
Length Number There should be {N} paragraphs.
constraints paragraphs + first Paragraphs and only paragraphs
word in i-th are separated from each other by
paragraph two line breaks. The {i}-th
paragraph must start with word
{first_word}.
Detectable Postscript At the end of your response,
content please explicitly add a postscript
starting with {postscript marker}.
Detectable Number The response must contain at least
content placeholder {N} placeholders represented by
square brackets, such as [address].
Detectable Number bullets Your answer must contain exactly
format {N} bullet points. Use the",f2dbd741
benchmark selection criteria for AI leaderboards,"The chapter mentions that while leaderboard developers thoughtfully select benchmarks, their decision-making processes are not always transparent to users, leading to variability across different leaderboards.",expert,"For inspiration on how to create your own leaderboard from public
benchmarks, it’s useful to look into how public leaderboards do so.
Public leaderboards
Many public leaderboards rank models based on their aggregated
performance on a subset of benchmarks. These leaderboards are immensely
helpful but far from being comprehensive. First, due to the compute
constraint—evaluating a model on a benchmark requires compute—most
leaderboards can incorporate only a small number of benchmarks. Some
leaderboards might exclude an important but expensive benchmark. For
example, HELM (Holistic Evaluation of Language Models) Lite left out an
information retrieval benchmark (MS MARCO, Microsoft Machine
Reading Comprehension) because it’s expensive to run. Hugging Face
opted out of HumanEval due to its large compute requirements—you need
to generate a lot of completions.
When Hugging Face first launched Open LLM Leaderboard in 2023, it
consisted of four benchmarks. By the end of that year, they extended it to
six benchmarks. A small set of benchmarks is not nearly enough to
represent the vast capabilities and different failure modes of foundation
models.
Additionally, while leaderboard developers are generally thoughtful about
how they select benchmarks, their decision-making process isn’t always
clear to users. Different leaderboards often end up with different",1ed6d1d2
how to create evaluation guidelines for AI systems,The text emphasizes that establishing clear evaluation guidelines is crucial to avoid ambiguous scoring and ensures that misleading responses can be identified effectively.,beginner,"Bob: Is the concept an animal?
Alice: No.
Bob: Is the concept a plant?
Alice: Yes.
Bob: Does it grow in the ocean?
Alice: No.
Bob: Does it grow in a tree?
Alice: Yes.
Bob: Is it an apple?
[Bob’s guess is correct, and the task is
completed.]
Step 2. Create an Evaluation Guideline
Creating a clear evaluation guideline is the most important step of the
evaluation pipeline. An ambiguous guideline leads to ambiguous scores that
can be misleading. If you don’t know what bad responses look like, you
won’t be able to catch them.",9f8f293c
evaluating efficiency in AI model performance,"Efficiency in AI models can be evaluated through metrics like runtime and memory usage, in addition to functional correctness, to ensure a model is not just accurate but also practical for real-world applications.",expert,"understanding are domain-specific capabilities. A model’s domain-specific
capabilities are constrained by its configuration (such as model architecture
and size) and training data. If a model never saw Latin during its training
process, it won’t be able to understand Latin. Models that don’t have the
capabilities your application requires won’t work for you.
To evaluate whether a model has the necessary capabilities, you can rely on
domain-specific benchmarks, either public or private. Thousands of public
benchmarks have been introduced to evaluate seemingly endless
capabilities, including code generation, code debugging, grade school math,
science knowledge, common sense, reasoning, legal knowledge, tool use,
game playing, etc. The list goes on.
Domain-specific capabilities are commonly evaluated using exact
evaluation. Coding-related capabilities are typically evaluated using
functional correctness, as discussed in Chapter 3. While functional
correctness is important, it might not be the only aspect that you care about.
You might also care about efficiency and cost. For example, would you
want a car that runs but consumes an excessive amount of fuel? Similarly, if
an SQL query generated by your text-to-SQL model is correct but takes too
long or requires too much memory to run, it might not be usable.
Efficiency can be exactly evaluated by measuring runtime or memory
usage. BIRD-SQL (Li et al., 2023) is an example of a benchmark that takes
into account not only the generated query’s execution accuracy but also its",8c746a19
what are open weights in AI models?,"Open weights refer to model weights that are publicly available, without necessarily providing access to the training data, which can be vital for auditing and ethical considerations.",beginner,"model. Some use cases also required access to the training data for auditing
purposes, for example, to make sure that the model wasn’t trained on
10
compromised or illegally acquired data.
To signal whether the data is also open, the term “open weight” is used for
models that don’t come with open data, whereas the term “open model” is
used for models that come with open data.
NOTE
Some people argue that the term open source should be reserved only for fully open models. In this
book, for simplicity, I use open source to refer to all models whose weights are made public,
regardless of their training data’s availability and licenses.
As of this writing, the vast majority of open source models are open weight
only. Model developers might hide training data information on purpose, as
this information can open model developers to public scrutiny and potential
lawsuits.
Another important attribute of open source models is their licenses. Before
foundation models, the open source world was confusing enough, with so
many different licenses, such as MIT (Massachusetts Institute of
Technology), Apache 2.0, GNU General Public License (GPL), BSD
(Berkely Software Distribution), Creative Commons, etc. Open source
models made the licensing situation worse. Many models are released under
their own unique licenses. For example, Meta released Llama 2 under the",cb153bba
how to evaluate generated text quality,"The chapter outlines key evaluation metrics for generated text quality including fluency, coherence, and task-specific measures like faithfulness and relevance.",beginner,"Generation Capability
AI was used to generate open-ended outputs long before generative AI
became a thing. For decades, the brightest minds in NLP (natural language
processing) have been working on how to evaluate the quality of open-
ended outputs. The subfield that studies open-ended text generation is
called NLG (natural language generation). NLG tasks in the early 2010s
included translation, summarization, and paraphrasing.
Metrics used to evaluate the quality of generated texts back then included
fluency and coherence. Fluency measures whether the text is grammatically
correct and natural-sounding (does this sound like something written by a
fluent speaker?). Coherence measures how well-structured the whole text is
(does it follow a logical structure?). Each task might also have its own
metrics. For example, a metric a translation task might use is faithfulness:
how faithful is the generated translation to the original sentence? A metric
that a summarization task might use is relevance: does the summary focus
on the most important aspects of the source document? (Li et al., 2022).
Some early NLG metrics, including faithfulness and relevance, have been
repurposed, with significant modifications, to evaluate the outputs of
foundation models. As generative models improved, many issues of early
NLG systems went away, and the metrics used to track these issues became
less important. In the 2010s, generated texts didn’t sound natural. They
were typically full of grammatical errors and awkward sentences. Fluency",b8627175
how to reduce latency when using AI models,"You can manage latency by optimizing prompts for conciseness, setting stopping conditions for generation, and employing other optimization techniques discussed in previous chapters.",intermediate,"Latency depends not only on the underlying model but also on each prompt
and sampling variables. Autoregressive language models typically generate
outputs token by token. The more tokens it has to generate, the higher the
total latency. You can control the total latency observed by users by careful
prompting, such as instructing the model to be concise, setting a stopping
condition for generation (discussed in Chapter 2), or other optimization
techniques (discussed in Chapter 9).
TIP
When evaluating models based on latency, it’s important to differentiate between the must-have and
the nice-to-have. If you ask users if they want lower latency, nobody will ever say no. But high
latency is often an annoyance, not a deal breaker.
If you use model APIs, they typically charge by tokens. The more input and
output tokens you use, the more expensive it is. Many applications then try
to reduce the input and output token count to manage cost.
If you host your own models, your cost, outside engineering cost, is
compute. To make the most out of the machines they have, many people
choose the largest models that can fit their machines. For example, GPUs
usually come with 16 GB, 24 GB, 48 GB, and 80 GB of memory.
Therefore, many popular models are those that max out these memory
configurations. It’s not a coincidence that many models today have 7 billion
or 65 billion parameters.",b9617461
why do monopolies harm consumers?,"Monopolies lead to increased prices and reduced output, which results in a loss of consumer surplus as noted in option D of the question.",beginner,"Question: One of the reasons that the government discourages and
regulates monopolies is that
(A) Producer surplus is lost and consumer surplus is gained.
(B) Monopoly prices ensure productive efficiency but cost society
allocative efficiency.
(C) Monopoly firms do not engage in significant research and
development.
(D) Consumer surplus is lost with higher prices and lower levels of
output.
Label: (D)
A multiple-choice question (MCQ) might have one or more correct
answers. A common metric is accuracy—how many questions the model
gets right. Some tasks use a point system to grade a model’s performance—
harder questions are worth more points. You can also use a point system
when there are multiple correct options. A model gets one point for each
option it gets right.
Classification is a special case of multiple choice where the choices are the
same for all questions. For example, for a tweet sentiment classification
task, each question has the same three choices: NEGATIVE, POSITIVE,
and NEUTRAL. Metrics for classification tasks, other than accuracy,
include F1 scores, precision, and recall.",9a4bcdf3
How does data lineage affect AI model development?,"Data lineage influences decisions about adopting open source versus proprietary models, alongside navigating copyright concerns related to data usage in AI training.",expert,"15
company’s secrets. It’s unclear how Samsung discovered this leak and
how the leaked information was used against Samsung. However, the
incident was serious enough for Samsung to ban ChatGPT in May 2023.
Some countries have laws that forbid sending certain data outside their
borders. If a model API provider wants to serve these use cases, they will
have to set up servers in these countries.
If you use a model API, there’s a risk that the API provider will use your
data to train its models. Even though most model API providers claim they
don’t do that, their policies can change. In August 2023, Zoom faced a
backlash after people found out the company had quietly changed its terms
of service to let Zoom use users’ service-generated data, including product
usage data and diagnostics data, to train its AI models.
What’s the problem with people using your data to train their models?
While research in this area is still sparse, some studies suggest that AI
models can memorize their training samples. For example, it’s been found
that Hugging Face’s StarCoder model memorizes 8% of its training set.
These memorized samples can be accidentally leaked to users or
intentionally exploited by bad actors, as demonstrated in Chapter 5.
Data lineage and copyright
Data lineage and copyright concerns can steer a company in many
directions: toward open source models, toward proprietary models, or away",624fdda5
open source vs proprietary model performance,"The chapter outlines that while the performance gap between open source models and proprietary models is decreasing, strong proprietary models are likely to remain superior. Open source models may still be viable for many applications despite this lag.",beginner,"Figure 4-7. The gap between open source models and proprietary models is decreasing on the
MMLU benchmark. Image by Maxime Labonne.
For this reason, it’s likely that the strongest open source model will lag
behind the strongest proprietary models for the foreseeable future.
However, for many use cases that don’t need the strongest models, open
source models might be sufficient.
Another reason that might cause open source models to lag behind is that
open source developers don’t receive feedback from users to improve their
models, the way commercial models do. Once a model is open sourced,
model developers have no idea how the model is being used, and how well
the model works in the wild.",249f08da
techniques for detecting factual inconsistency in language models,"The chapter introduces various techniques developed to detect factual inconsistency, while noting that comprehensive coverage of these methods is beyond the scope of the chapter.",expert,"techniques used to measure these qualities can give you a rough idea of how
to evaluate other qualities you care about.
Factual consistency
Due to factual inconsistency’s potential for catastrophic consequences,
many techniques have been and will be developed to detect and measure it.
It’s impossible to cover them all in one chapter, so I’ll go over only the
broad strokes.
The factual consistency of a model’s output can be verified under two
settings: against explicitly provided facts (context) or against open
knowledge:
Local factual consistency
The output is evaluated against a context. The output is considered
factually consistent if it’s supported by the given context. For
example, if the model outputs “the sky is blue” and the given context
says that the sky is purple, this output is considered factually
inconsistent. Conversely, given this context, if the model outputs “the
sky is purple”, this output is factually consistent.
Local factual consistency is important for tasks with limited scopes
such as summarization (the summary should be consistent with the
original document), customer support chatbots (the chatbot’s
responses should be consistent with the company’s policies), and",7f0e2336
What are the implications of a model's data lineage in AI training?,"Understanding a model's data lineage is critical as it affects compliance with licensing terms, particularly regarding whether a model can be trained on outputs from another model without violating rules.",expert,"4
Textual entailment is also known as natural language inference (NLI).
5
Anthropic has a nice tutorial on using Claude for content moderation.
6
Structured outputs are discussed in depth in Chapter 2.
7
There haven’t been many comprehensive studies of the distribution of instructions people are using
foundation models for. LMSYS published a study of one million conversations on Chatbot Arena, but
these conversations aren’t grounded in real-world applications. I’m waiting for studies from model
providers and API providers.
8
The knowledge part is tricky, as the roleplaying model shouldn’t say things that Jackie Chan doesn’t
know. For example, if Jackie Chan doesn’t speak Vietnamese, you should check that the roleplaying
model doesn’t speak Vietnamese. The “negative knowledge” check is very important for gaming. You
don’t want an NPC to accidentally give players spoilers.
9
However, the electricity cost might be different, depending on the usage.
0
Another argument for making training data public is that since models are likely trained on data
scraped from the internet, which was generated by the public, the public should have the right to
access the models’ training data.
1
In spirit, this restriction is similar to the Elastic License that forbids companies from offering the
open source version of Elastic as a hosted service and competing with the Elasticsearch platform.
2
It’s possible that a model’s output can’t be used to improve other models, even if its license allows
that. Consider model X that is trained on ChatGPT’s outputs. X might have a license that allows this,
but if ChatGPT doesn’t, then X violated ChatGPT’s terms of use, and therefore, X can’t be used. This
is why knowing a model’s data lineage is so important.
3
For example, as of this writing, you can access GPT-4 models only via OpenAI or Azure. Some
might argue that being able to provide services on top of OpenAI’s proprietary models is a key",73a9fbe8
best practices for reporting model performance,"The chapter emphasizes the importance of disclosing the percentage of benchmark data used in training when reporting model performance, along with results on overall and clean samples of the benchmark.",expert,"The n-gram overlapping approach is more accurate but can be time-
consuming and expensive to run because you have to compare each
benchmark example with the entire training data. It’s also impossible
without access to the training data. The perplexity approach is less accurate
but much less resource-intensive.
In the past, ML textbooks advised removing evaluation samples from the
training data. The goal is to keep evaluation benchmarks standardized so
that we can compare different models. However, with foundation models,
most people don’t have control over training data. Even if we have control
over training data, we might not want to remove all benchmark data from
the training data, because high-quality benchmark data can help improve
the overall model performance. Besides, there will always be benchmarks
created after models are trained, so there will always be contaminated
evaluation samples.
For model developers, a common practice is to remove benchmarks they
care about from their training data before training their models. Ideally,
when reporting your model performance on a benchmark, it’s helpful to
disclose what percentage of this benchmark data is in your training data,
and what the model’s performance is on both the overall benchmark and the
clean samples of the benchmark. Sadly, because detecting and removing
contamination takes effort, many people find it easier to just skip it.",3ea54e1e
advanced techniques for evaluating LLMs,"The text suggests using diverse evaluation criteria, including out-of-scope inputs and error-prone examples, to rigorously assess the robustness and reliability of large language models.",expert,"outperforms model B on each subgroup but underperforms model B
overall.
a
Table 4-6. An example of Simpson’s paradox.
Group 1 Group 2 Overall
Model A 93% (81/87) 73% (192/263) 78% (273/350)
Model B 87% (234/270) 69% (55/80) 83% (289/350)
a
I also used this example in Designing Machine Learning Systems. Numbers from Charig
et al., “Comparison of Treatment of Renal Calculi by Open Surgery, Percutaneous
Nephrolithotomy, and Extracorporeal Shockwave Lithotripsy”, British Medical Journal
(Clinical Research Edition) 292, no. 6524 (March 1986): 879–82.
You should have multiple evaluation sets to represent different data slices.
You should have one set that represents the distribution of the actual
production data to estimate how the system does overall. You can slice your
data based on tiers (paying users versus free users), traffic sources (mobile
versus web), usage, and more. You can have a set consisting of the
examples for which the system is known to frequently make mistakes. You
can have a set of examples where users frequently make mistakes—if typos
are common in production, you should have evaluation examples that
contain typos. You might want an out-of-scope evaluation set, inputs your
application isn’t supposed to engage with, to make sure that your
application handles them appropriately.",6ec99943
how to evaluate AI applications,"The chapter highlights the importance of establishing specific evaluation criteria for AI applications, focusing on domain-specific capability, generation capability, instruction-following capability, and cost and latency to guide effective evaluations.",beginner,"I believe that evaluation is the biggest bottleneck to AI adoption. Being able
to build reliable evaluation pipelines will unlock many new applications.
An AI application, therefore, should start with a list of evaluation criteria
specific to the application. In general, you can think of criteria in the
following buckets: domain-specific capability, generation capability,
instruction-following capability, and cost and latency.
Imagine you ask a model to summarize a legal contract. At a high level,
domain-specific capability metrics tell you how good the model is at
understanding legal contracts. Generation capability metrics measure how
coherent or faithful the summary is. Instruction-following capability
determines whether the summary is in the requested format, such as
meeting your length constraints. Cost and latency metrics tell you how
much this summary will cost you and how long you will have to wait for it.
The last chapter started with an evaluation approach and discussed what
criteria a given approach can evaluate. This section takes a different angle:
given a criterion, what approaches can you use to evaluate it?
Domain-Specific Capability
To build a coding agent, you need a model that can write code. To build an
application to translate from Latin to English, you need a model that
understands both Latin and English. Coding and English–Latin",78bcd27e
