question,summary_answer,difficulty,text,id
how to evaluate AI applications,"The chapter highlights the importance of establishing specific evaluation criteria for AI applications, focusing on domain-specific capability, generation capability, instruction-following capability, and cost and latency to guide effective evaluations.",beginner,"I believe that evaluation is the biggest bottleneck to AI adoption. Being able
to build reliable evaluation pipelines will unlock many new applications.
An AI application, therefore, should start with a list of evaluation criteria
specific to the application. In general, you can think of criteria in the
following buckets: domain-specific capability, generation capability,
instruction-following capability, and cost and latency.
Imagine you ask a model to summarize a legal contract. At a high level,
domain-specific capability metrics tell you how good the model is at
understanding legal contracts. Generation capability metrics measure how
coherent or faithful the summary is. Instruction-following capability
determines whether the summary is in the requested format, such as
meeting your length constraints. Cost and latency metrics tell you how
much this summary will cost you and how long you will have to wait for it.
The last chapter started with an evaluation approach and discussed what
criteria a given approach can evaluate. This section takes a different angle:
given a criterion, what approaches can you use to evaluate it?
Domain-Specific Capability
To build a coding agent, you need a model that can write code. To build an
application to translate from Latin to English, you need a model that
understands both Latin and English. Coding and English–Latin",78bcd27e
evaluation criteria for AI models,"It provides a framework for identifying key evaluation criteria relevant to AI models, helping engineers assess performance in specific application contexts like summarizing legal contracts.",intermediate,"I believe that evaluation is the biggest bottleneck to AI adoption. Being able
to build reliable evaluation pipelines will unlock many new applications.
An AI application, therefore, should start with a list of evaluation criteria
specific to the application. In general, you can think of criteria in the
following buckets: domain-specific capability, generation capability,
instruction-following capability, and cost and latency.
Imagine you ask a model to summarize a legal contract. At a high level,
domain-specific capability metrics tell you how good the model is at
understanding legal contracts. Generation capability metrics measure how
coherent or faithful the summary is. Instruction-following capability
determines whether the summary is in the requested format, such as
meeting your length constraints. Cost and latency metrics tell you how
much this summary will cost you and how long you will have to wait for it.
The last chapter started with an evaluation approach and discussed what
criteria a given approach can evaluate. This section takes a different angle:
given a criterion, what approaches can you use to evaluate it?
Domain-Specific Capability
To build a coding agent, you need a model that can write code. To build an
application to translate from Latin to English, you need a model that
understands both Latin and English. Coding and English–Latin",40eb9ba7
best practices for AI evaluation pipelines,"The chapter discusses the need for reliable evaluation pipelines and outlines the different approaches to evaluate specific criteria, which can significantly impact the performance of AI applications.",expert,"I believe that evaluation is the biggest bottleneck to AI adoption. Being able
to build reliable evaluation pipelines will unlock many new applications.
An AI application, therefore, should start with a list of evaluation criteria
specific to the application. In general, you can think of criteria in the
following buckets: domain-specific capability, generation capability,
instruction-following capability, and cost and latency.
Imagine you ask a model to summarize a legal contract. At a high level,
domain-specific capability metrics tell you how good the model is at
understanding legal contracts. Generation capability metrics measure how
coherent or faithful the summary is. Instruction-following capability
determines whether the summary is in the requested format, such as
meeting your length constraints. Cost and latency metrics tell you how
much this summary will cost you and how long you will have to wait for it.
The last chapter started with an evaluation approach and discussed what
criteria a given approach can evaluate. This section takes a different angle:
given a criterion, what approaches can you use to evaluate it?
Domain-Specific Capability
To build a coding agent, you need a model that can write code. To build an
application to translate from Latin to English, you need a model that
understands both Latin and English. Coding and English–Latin",007c650b
how to determine a model's domain-specific capabilities,"To evaluate a model's domain-specific capabilities, you can utilize various benchmarks that assess its performance in specific areas like code generation or reasoning, considering both functional correctness and efficiency.",beginner,"understanding are domain-specific capabilities. A model’s domain-specific
capabilities are constrained by its configuration (such as model architecture
and size) and training data. If a model never saw Latin during its training
process, it won’t be able to understand Latin. Models that don’t have the
capabilities your application requires won’t work for you.
To evaluate whether a model has the necessary capabilities, you can rely on
domain-specific benchmarks, either public or private. Thousands of public
benchmarks have been introduced to evaluate seemingly endless
capabilities, including code generation, code debugging, grade school math,
science knowledge, common sense, reasoning, legal knowledge, tool use,
game playing, etc. The list goes on.
Domain-specific capabilities are commonly evaluated using exact
evaluation. Coding-related capabilities are typically evaluated using
functional correctness, as discussed in Chapter 3. While functional
correctness is important, it might not be the only aspect that you care about.
You might also care about efficiency and cost. For example, would you
want a car that runs but consumes an excessive amount of fuel? Similarly, if
an SQL query generated by your text-to-SQL model is correct but takes too
long or requires too much memory to run, it might not be usable.
Efficiency can be exactly evaluated by measuring runtime or memory
usage. BIRD-SQL (Li et al., 2023) is an example of a benchmark that takes
into account not only the generated query’s execution accuracy but also its",90479f13
importance of domain-specific benchmarks for AI,"Domain-specific benchmarks are critical for understanding a model's capabilities, as they help assess whether a model can perform tasks related to its intended application, ensuring it meets necessary standards for functionality and efficiency.",intermediate,"understanding are domain-specific capabilities. A model’s domain-specific
capabilities are constrained by its configuration (such as model architecture
and size) and training data. If a model never saw Latin during its training
process, it won’t be able to understand Latin. Models that don’t have the
capabilities your application requires won’t work for you.
To evaluate whether a model has the necessary capabilities, you can rely on
domain-specific benchmarks, either public or private. Thousands of public
benchmarks have been introduced to evaluate seemingly endless
capabilities, including code generation, code debugging, grade school math,
science knowledge, common sense, reasoning, legal knowledge, tool use,
game playing, etc. The list goes on.
Domain-specific capabilities are commonly evaluated using exact
evaluation. Coding-related capabilities are typically evaluated using
functional correctness, as discussed in Chapter 3. While functional
correctness is important, it might not be the only aspect that you care about.
You might also care about efficiency and cost. For example, would you
want a car that runs but consumes an excessive amount of fuel? Similarly, if
an SQL query generated by your text-to-SQL model is correct but takes too
long or requires too much memory to run, it might not be usable.
Efficiency can be exactly evaluated by measuring runtime or memory
usage. BIRD-SQL (Li et al., 2023) is an example of a benchmark that takes
into account not only the generated query’s execution accuracy but also its",62afda79
evaluating efficiency in AI model performance,"Efficiency in AI models can be evaluated through metrics like runtime and memory usage, in addition to functional correctness, to ensure a model is not just accurate but also practical for real-world applications.",expert,"understanding are domain-specific capabilities. A model’s domain-specific
capabilities are constrained by its configuration (such as model architecture
and size) and training data. If a model never saw Latin during its training
process, it won’t be able to understand Latin. Models that don’t have the
capabilities your application requires won’t work for you.
To evaluate whether a model has the necessary capabilities, you can rely on
domain-specific benchmarks, either public or private. Thousands of public
benchmarks have been introduced to evaluate seemingly endless
capabilities, including code generation, code debugging, grade school math,
science knowledge, common sense, reasoning, legal knowledge, tool use,
game playing, etc. The list goes on.
Domain-specific capabilities are commonly evaluated using exact
evaluation. Coding-related capabilities are typically evaluated using
functional correctness, as discussed in Chapter 3. While functional
correctness is important, it might not be the only aspect that you care about.
You might also care about efficiency and cost. For example, would you
want a car that runs but consumes an excessive amount of fuel? Similarly, if
an SQL query generated by your text-to-SQL model is correct but takes too
long or requires too much memory to run, it might not be usable.
Efficiency can be exactly evaluated by measuring runtime or memory
usage. BIRD-SQL (Li et al., 2023) is an example of a benchmark that takes
into account not only the generated query’s execution accuracy but also its",8c746a19
how to evaluate the efficiency of AI-generated queries,The text explains that efficiency can be measured by comparing the runtime of the generated SQL query against the runtime of the ground truth SQL query.,beginner,"efficiency, which is measured by comparing the runtime of the generated
query with the runtime of the ground truth SQL query.
You might also care about code readability. If the generated code runs but
nobody can understand it, it will be challenging to maintain the code or
incorporate it into a system. There’s no obvious way to evaluate code
readability exactly, so you might have to rely on subjective evaluation, such
as using AI judges.
Non-coding domain capabilities are often evaluated with close-ended tasks,
such as multiple-choice questions. Close-ended outputs are easier to verify
and reproduce. For example, if you want to evaluate a model’s ability to do
math, an open-ended approach is to ask the model to generate the solution
to a given problem. A close-ended approach is to give the model several
options and let it pick the correct one. If the expected answer is option C
and the model outputs option A, the model is wrong.
This is the approach that most public benchmarks follow. In April 2024,
75% of the tasks in Eleuther’s lm-evaluation-harness are multiple-choice,
including UC Berkeley’s MMLU (2020), Microsoft’s AGIEval (2023), and
the AI2 Reasoning Challenge (ARC-C) (2018). In their paper, AGIEval’s
authors explained that they excluded open-ended tasks on purpose to avoid
inconsistent assessment.
Here’s an example of a multiple-choice question in the MMLU benchmark:",fa0b9be8
importance of code readability in AI systems,"The chapter emphasizes that code readability is crucial for maintenance and integration, even though it’s challenging to evaluate objectively, often requiring subjective assessments like AI judges.",intermediate,"efficiency, which is measured by comparing the runtime of the generated
query with the runtime of the ground truth SQL query.
You might also care about code readability. If the generated code runs but
nobody can understand it, it will be challenging to maintain the code or
incorporate it into a system. There’s no obvious way to evaluate code
readability exactly, so you might have to rely on subjective evaluation, such
as using AI judges.
Non-coding domain capabilities are often evaluated with close-ended tasks,
such as multiple-choice questions. Close-ended outputs are easier to verify
and reproduce. For example, if you want to evaluate a model’s ability to do
math, an open-ended approach is to ask the model to generate the solution
to a given problem. A close-ended approach is to give the model several
options and let it pick the correct one. If the expected answer is option C
and the model outputs option A, the model is wrong.
This is the approach that most public benchmarks follow. In April 2024,
75% of the tasks in Eleuther’s lm-evaluation-harness are multiple-choice,
including UC Berkeley’s MMLU (2020), Microsoft’s AGIEval (2023), and
the AI2 Reasoning Challenge (ARC-C) (2018). In their paper, AGIEval’s
authors explained that they excluded open-ended tasks on purpose to avoid
inconsistent assessment.
Here’s an example of a multiple-choice question in the MMLU benchmark:",a14db963
evaluating AI with multiple-choice questions,"It describes how non-coding abilities can be assessed using close-ended tasks, particularly multiple-choice questions, which simplify verification and consistency in evaluation.",expert,"efficiency, which is measured by comparing the runtime of the generated
query with the runtime of the ground truth SQL query.
You might also care about code readability. If the generated code runs but
nobody can understand it, it will be challenging to maintain the code or
incorporate it into a system. There’s no obvious way to evaluate code
readability exactly, so you might have to rely on subjective evaluation, such
as using AI judges.
Non-coding domain capabilities are often evaluated with close-ended tasks,
such as multiple-choice questions. Close-ended outputs are easier to verify
and reproduce. For example, if you want to evaluate a model’s ability to do
math, an open-ended approach is to ask the model to generate the solution
to a given problem. A close-ended approach is to give the model several
options and let it pick the correct one. If the expected answer is option C
and the model outputs option A, the model is wrong.
This is the approach that most public benchmarks follow. In April 2024,
75% of the tasks in Eleuther’s lm-evaluation-harness are multiple-choice,
including UC Berkeley’s MMLU (2020), Microsoft’s AGIEval (2023), and
the AI2 Reasoning Challenge (ARC-C) (2018). In their paper, AGIEval’s
authors explained that they excluded open-ended tasks on purpose to avoid
inconsistent assessment.
Here’s an example of a multiple-choice question in the MMLU benchmark:",9a42b3d7
why do monopolies harm consumers?,"Monopolies lead to increased prices and reduced output, which results in a loss of consumer surplus as noted in option D of the question.",beginner,"Question: One of the reasons that the government discourages and
regulates monopolies is that
(A) Producer surplus is lost and consumer surplus is gained.
(B) Monopoly prices ensure productive efficiency but cost society
allocative efficiency.
(C) Monopoly firms do not engage in significant research and
development.
(D) Consumer surplus is lost with higher prices and lower levels of
output.
Label: (D)
A multiple-choice question (MCQ) might have one or more correct
answers. A common metric is accuracy—how many questions the model
gets right. Some tasks use a point system to grade a model’s performance—
harder questions are worth more points. You can also use a point system
when there are multiple correct options. A model gets one point for each
option it gets right.
Classification is a special case of multiple choice where the choices are the
same for all questions. For example, for a tweet sentiment classification
task, each question has the same three choices: NEGATIVE, POSITIVE,
and NEUTRAL. Metrics for classification tasks, other than accuracy,
include F1 scores, precision, and recall.",9a4bcdf3
what metrics are used for evaluating AI models in MCQs?,"Common metrics for evaluating models on multiple-choice questions include accuracy, F1 scores, precision, and recall, as explained in the section about grading performance.",intermediate,"Question: One of the reasons that the government discourages and
regulates monopolies is that
(A) Producer surplus is lost and consumer surplus is gained.
(B) Monopoly prices ensure productive efficiency but cost society
allocative efficiency.
(C) Monopoly firms do not engage in significant research and
development.
(D) Consumer surplus is lost with higher prices and lower levels of
output.
Label: (D)
A multiple-choice question (MCQ) might have one or more correct
answers. A common metric is accuracy—how many questions the model
gets right. Some tasks use a point system to grade a model’s performance—
harder questions are worth more points. You can also use a point system
when there are multiple correct options. A model gets one point for each
option it gets right.
Classification is a special case of multiple choice where the choices are the
same for all questions. For example, for a tweet sentiment classification
task, each question has the same three choices: NEGATIVE, POSITIVE,
and NEUTRAL. Metrics for classification tasks, other than accuracy,
include F1 scores, precision, and recall.",079369a8
why are MCQs common for evaluating AI models,"MCQs are popular because they are easy to create and allow for straightforward evaluation against a random baseline, providing a quick way to gauge model performance.",beginner,"MCQs are popular because they are easy to create, verify, and evaluate
against the random baseline. If each question has four options and only one
correct option, the random baseline accuracy would be 25%. Scores above
25% typically, though not always, mean that the model is doing better than
random.
A drawback of using MCQs is that a model’s performance on MCQs can
vary with small changes in how the questions and the options are presented.
Alzahrani et al. (2024) found that the introduction of an extra space
between the question and answer or an addition of an additional
instructional phrase, such as “Choices:” can cause the model to change its
answers. Models’ sensitivity to prompts and prompt engineering best
practices are discussed in Chapter 5.
Despite the prevalence of close-ended benchmarks, it’s unclear if they are a
good way to evaluate foundation models. MCQs test the ability to
differentiate good responses from bad responses (classification), which is
different from the ability to generate good responses. MCQs are best suited
for evaluating knowledge (“does the model know that Paris is the capital of
France?”) and reasoning (“can the model infer from a table of business
expenses which department is spending the most?”). They aren’t ideal for
evaluating generation capabilities such as summarization, translation, and
essay writing. Let’s discuss how generation capabilities can be evaluated in
the next section.",176d6c53
impact of question formatting on model performance,"Small changes in how MCQs are formatted, such as adding spaces or instructional phrases, can lead to significant variations in a model's answers, indicating their sensitivity to prompts.",intermediate,"MCQs are popular because they are easy to create, verify, and evaluate
against the random baseline. If each question has four options and only one
correct option, the random baseline accuracy would be 25%. Scores above
25% typically, though not always, mean that the model is doing better than
random.
A drawback of using MCQs is that a model’s performance on MCQs can
vary with small changes in how the questions and the options are presented.
Alzahrani et al. (2024) found that the introduction of an extra space
between the question and answer or an addition of an additional
instructional phrase, such as “Choices:” can cause the model to change its
answers. Models’ sensitivity to prompts and prompt engineering best
practices are discussed in Chapter 5.
Despite the prevalence of close-ended benchmarks, it’s unclear if they are a
good way to evaluate foundation models. MCQs test the ability to
differentiate good responses from bad responses (classification), which is
different from the ability to generate good responses. MCQs are best suited
for evaluating knowledge (“does the model know that Paris is the capital of
France?”) and reasoning (“can the model infer from a table of business
expenses which department is spending the most?”). They aren’t ideal for
evaluating generation capabilities such as summarization, translation, and
essay writing. Let’s discuss how generation capabilities can be evaluated in
the next section.",75220f6f
are MCQs effective for evaluating generative capabilities,"While MCQs excel at testing knowledge and reasoning, they are not suited for evaluating a model's generative capabilities like summarization or translation, which require more nuanced assessments.",expert,"MCQs are popular because they are easy to create, verify, and evaluate
against the random baseline. If each question has four options and only one
correct option, the random baseline accuracy would be 25%. Scores above
25% typically, though not always, mean that the model is doing better than
random.
A drawback of using MCQs is that a model’s performance on MCQs can
vary with small changes in how the questions and the options are presented.
Alzahrani et al. (2024) found that the introduction of an extra space
between the question and answer or an addition of an additional
instructional phrase, such as “Choices:” can cause the model to change its
answers. Models’ sensitivity to prompts and prompt engineering best
practices are discussed in Chapter 5.
Despite the prevalence of close-ended benchmarks, it’s unclear if they are a
good way to evaluate foundation models. MCQs test the ability to
differentiate good responses from bad responses (classification), which is
different from the ability to generate good responses. MCQs are best suited
for evaluating knowledge (“does the model know that Paris is the capital of
France?”) and reasoning (“can the model infer from a table of business
expenses which department is spending the most?”). They aren’t ideal for
evaluating generation capabilities such as summarization, translation, and
essay writing. Let’s discuss how generation capabilities can be evaluated in
the next section.",285f891d
how to evaluate generated text quality,"The chapter outlines key evaluation metrics for generated text quality including fluency, coherence, and task-specific measures like faithfulness and relevance.",beginner,"Generation Capability
AI was used to generate open-ended outputs long before generative AI
became a thing. For decades, the brightest minds in NLP (natural language
processing) have been working on how to evaluate the quality of open-
ended outputs. The subfield that studies open-ended text generation is
called NLG (natural language generation). NLG tasks in the early 2010s
included translation, summarization, and paraphrasing.
Metrics used to evaluate the quality of generated texts back then included
fluency and coherence. Fluency measures whether the text is grammatically
correct and natural-sounding (does this sound like something written by a
fluent speaker?). Coherence measures how well-structured the whole text is
(does it follow a logical structure?). Each task might also have its own
metrics. For example, a metric a translation task might use is faithfulness:
how faithful is the generated translation to the original sentence? A metric
that a summarization task might use is relevance: does the summary focus
on the most important aspects of the source document? (Li et al., 2022).
Some early NLG metrics, including faithfulness and relevance, have been
repurposed, with significant modifications, to evaluate the outputs of
foundation models. As generative models improved, many issues of early
NLG systems went away, and the metrics used to track these issues became
less important. In the 2010s, generated texts didn’t sound natural. They
were typically full of grammatical errors and awkward sentences. Fluency",b8627175
NLG evaluation metrics examples,"It details various metrics from the NLG field, emphasizing fluency, coherence, and specific metrics tailored for tasks like translation and summarization.",intermediate,"Generation Capability
AI was used to generate open-ended outputs long before generative AI
became a thing. For decades, the brightest minds in NLP (natural language
processing) have been working on how to evaluate the quality of open-
ended outputs. The subfield that studies open-ended text generation is
called NLG (natural language generation). NLG tasks in the early 2010s
included translation, summarization, and paraphrasing.
Metrics used to evaluate the quality of generated texts back then included
fluency and coherence. Fluency measures whether the text is grammatically
correct and natural-sounding (does this sound like something written by a
fluent speaker?). Coherence measures how well-structured the whole text is
(does it follow a logical structure?). Each task might also have its own
metrics. For example, a metric a translation task might use is faithfulness:
how faithful is the generated translation to the original sentence? A metric
that a summarization task might use is relevance: does the summary focus
on the most important aspects of the source document? (Li et al., 2022).
Some early NLG metrics, including faithfulness and relevance, have been
repurposed, with significant modifications, to evaluate the outputs of
foundation models. As generative models improved, many issues of early
NLG systems went away, and the metrics used to track these issues became
less important. In the 2010s, generated texts didn’t sound natural. They
were typically full of grammatical errors and awkward sentences. Fluency",cabaa12d
advancements in NLG evaluation methods,"The text discusses how early NLG evaluation metrics have been adapted for modern generative models, highlighting improvements in fluency and coherence over time.",expert,"Generation Capability
AI was used to generate open-ended outputs long before generative AI
became a thing. For decades, the brightest minds in NLP (natural language
processing) have been working on how to evaluate the quality of open-
ended outputs. The subfield that studies open-ended text generation is
called NLG (natural language generation). NLG tasks in the early 2010s
included translation, summarization, and paraphrasing.
Metrics used to evaluate the quality of generated texts back then included
fluency and coherence. Fluency measures whether the text is grammatically
correct and natural-sounding (does this sound like something written by a
fluent speaker?). Coherence measures how well-structured the whole text is
(does it follow a logical structure?). Each task might also have its own
metrics. For example, a metric a translation task might use is faithfulness:
how faithful is the generated translation to the original sentence? A metric
that a summarization task might use is relevance: does the summary focus
on the most important aspects of the source document? (Li et al., 2022).
Some early NLG metrics, including faithfulness and relevance, have been
repurposed, with significant modifications, to evaluate the outputs of
foundation models. As generative models improved, many issues of early
NLG systems went away, and the metrics used to track these issues became
less important. In the 2010s, generated texts didn’t sound natural. They
were typically full of grammatical errors and awkward sentences. Fluency",f3b9007a
